CompanyName,Symbol,Exchange
Bristol Myers Squibb Co,BMY,xN
AnaptysBio Inc,ANAB,xO
Cellebrite DI Ltd,CLBT,xO
Canadian Pacific Kansas City,CP,xN
California Water Service Group,CWT,xN
Banco BBVA Argentina SA,BBAR,xN
Easterly Government Properties,DEA,xN
db Xtrack EAFE,DBEF,xN
ABB Ltd.,ABBNY,P
Triumph Group,TGI,xN
Schwab Intl Sm,FNDC,xN
Direxion Daily AMZN Bear 1X,AMZD,xO
BP Plc. ADR,BP,xN
iShares Core MSCI Int'l,IDEV,xN
Innovex International,INVX,xN
Deutsche Bank AG,DB,xN
Ovintiv Inc,OVV,xN
SharpLink Gaming,SBET,xO
iShares MSCI EAFE,EFA,xA
iShr SPGbl GE,IXC,xA
EXACT Sciences,EXAS,xO
American Public Education,APEI,xO
SPDR Portfolio Europe ETF,SPEU,xN
Vangd Energy,VDE,xN
Invesco Ult Sht,GSY,xN
Cenovus Energy Inc,CVE,xN
Avidity Bio,RNA,xO
American Asset,AAT,xN
Supernus Pharm,SUPN,xO
Boot Barn Holdings,BOOT,xN
Verisign Inc,VRSN,xO
ATMOS Energy,ATO,xN
Capricor Therapeutics,CAPR,xO
First Advantage,FA,xO
Arcutis Biotherapeutics,ARQT,xO
Toast Inc,TOST,xN
Purecycle Tech,PCT,xO
Nutrien Ltd,NTR,xN
Liberty Oilfild,LBRT,xN
ADMA Biologics Inc,ADMA,xO
Eyepoint Pharma,EYPT,xO
Varonis Systems,VRNS,xO
Liquidia Tech,LQDA,xO
Vngrd Int HDYIF,VYMI,xO
Vaxcyte Inc,PCVX,xO
Ke Holdings,BEKE,xN
Avantis International,AVDV,N
CG Oncology,CGON,xO
ImmunocoreHldgs,IMCR,xO
Apellis Pharma,APLS,xO
Alignment Healthcare,ALHC,xO
Crinetics Pharm,CRNX,xO
Kornit Digital,KRNT,xO
Freshworks Inc,FRSH,xO
Samsara Inc,IOT,xN
Essex Property,ESS,xN
Rexford Indust,REXR,xN
GE Vernova Inc,GEV,xN
Ibotta Inc,IBTA,xN
JPMorganBBEuETF,BBEU,xB
Dimensional Int'l Sm Cap Value,DISV,xB
MoonLake Immuno,MLTX,xO
First Trust Sen,FTSL,xO
Invesco2026 CB,BSCQ,O
WisdomTree Intl,IHDG,xN
NOV Inc,NOV,xN
JPMorgan Int'l,JIRE,xN
D-Wave Quantum,QBTS,xN
Orla Mining Ltd,ORLA,xA
Grupo Financiero Galicia SA,GGAL,xO
Metsera Inc,MTSR,xO
Gorilla Tech,GRRR,xO
iShrs S&PStNat,SUB,N
CECO Envirnmtl,CECO,xO
YieldMax Mag 7,YMAG,xN
Lyell Immunopharma,LYEL,xO
Argenx NV,ARGX,xO
Neurocrine Bio,NBIX,xO
SPDR Utilities,XLU,xN
Southwest Gas,SWX,xN
TG Therapeutics,TGTX,xO
Schwab IntlSmCp,SCHC,xN
iShares MSCI ACWI ex U.S.,ACWX,xO
Spyre Therapeutics Inc,SYRE,xO
iShares MSCI Intl Quality Fact,IQLT,xN
iShares ESG Aware MSCI EAFE,ESGD,O
Allot Comm,ALLT,xO
First Tr Utlits,FXU,xN
Semtech Corp,SMTC,xO
iShares MSCI EAFE Growth,EFG,xN
Paycom Software,PAYC,xN
West Pharmaceutical Services,WST,xN
Cantor Equity Partners,CEP,xO
Replimune Grp,REPL,xO
Arthur J. Gallagher & Co,AJG,xN
Scholar Rock,SRRK,xO
Ralliant Corp,RAL,N
ARS Pharmaceut,SPRY,xO
